Country Name,ISO3,value
Afghanistan,AFG,26.933
Albania,ALB,64.603
Algeria,DZA,75.268
American Samoa,ASM,87.235
Andorra,AND,87.774
Angola,AGO,68.688
Antigua and Barbuda,ATG,24.332
Argentina,ARG,92.463
Armenia,ARM,63.739
Aruba,ABW,44.254
Australia,AUS,86.617
Austria,AUT,59.53
Azerbaijan,AZE,57.577
Bahamas. The,BHS,83.625
Bahrain,BHR,89.869
Bangladesh,BGD,40.473
Barbados,BRB,31.425
Belarus,BLR,80.731
Belgium,BEL,98.189
Belize,BLZ,46.608
Benin,BEN,50.1
Bermuda,BMU,100
Bhutan,BTN,44.35
Bolivia,BOL,71.186
Bosnia and Herzegovina,BIH,50.269
Botswana,BWA,72.867
Brazil,BRA,87.788
British Virgin Islands,VGB,49.748
Brunei Darussalam,BRN,79.149
Bulgaria,BGR,76.701
Burkina Faso,BFA,32.52
Burundi,BDI,14.784
Cabo Verde,CPV,67.982
Cambodia,KHM,25.57
Cameroon,CMR,59.315
Canada,CAN,81.862
Cayman Islands,CYM,100
Central African Republic,CAF,43.614
Chad,TCD,24.366
Channel Islands,CHI,31.159
Chile,CHL,88.012
China,CHN,64.57
Colombia,COL,82.354
Comoros,COM,30.132
Congo. Dem. Rep.,COD,47.444
Congo. Rep.,COG,69.188
Costa Rica,CRI,82.622
Cote d'Ivoire,CIV,53.149
Croatia,HRV,58.575
Cuba,CUB,77.523
Curacao,CUW,89.023
Cyprus,CYP,66.987
Czechia,CZE,74.552
Denmark,DNK,88.495
Djibouti,DJI,78.552
Dominica,DMA,72.006
Dominican Republic,DOM,84.446
Ecuador,ECU,64.792
Egypt. Arab Rep.,EGY,43.1
El Salvador,SLV,75.393
Equatorial Guinea,GNQ,74.448
Eritrea,ERI,43.267
Estonia,EST,69.81
Eswatini,SWZ,24.79
Ethiopia,ETH,23.157
Faroe Islands,FRO,42.987
Fiji,FJI,58.713
Finland,FIN,85.773
France,FRA,81.777
French Polynesia,PYF,62.288
Gabon,GAB,91.029
Gambia. The,GMB,64.472
Georgia,GEO,60.727
Germany,DEU,77.765
Ghana,GHA,59.238
Gibraltar,GIB,100
Greece,GRC,80.673
Greenland,GRL,87.94
Grenada,GRD,37.059
Guam,GUM,95.166
Guatemala,GTM,53.098
Guinea,GIN,38.085
Guinea-Bissau,GNB,45.466
Guyana,GUY,27.162
Haiti,HTI,59.656
Honduras,HND,60.212
Hong Kong SAR. China,HKG,100
Hungary,HUN,72.864
Iceland,ISL,94.042
India,IND,36.364
Indonesia,IDN,58.572
Iran. Islamic Rep.,IRN,77.257
Iraq,IRQ,71.599
Ireland,IRL,64.466
Isle of Man,IMN,53.482
Israel,ISR,92.854
Italy,ITA,71.973
Jamaica,JAM,57.378
Japan,JPN,92.043
Jordan,JOR,92.02
Kazakhstan,KAZ,58.179
Kenya,KEN,29.52
Kiribati,KIR,57.762
Korea. Dem. People's Rep.,PRK,63.203
Korea. Rep.,KOR,81.456
Kosovo,XKX,..
Kuwait,KWT,100
Kyrgyz Republic,KGZ,37.801
Lao PDR,LAO,38.247
Latvia,LVA,68.671
Lebanon,LBN,89.432
Lesotho,LSO,30.415
Liberia,LBR,53.567
Libya,LBY,81.606
Liechtenstein,LIE,14.617
Lithuania,LTU,68.694
Luxembourg,LUX,92.078
Macao SAR. China,MAC,100
Madagascar,MDG,40.556
Malawi,MWI,18.28
Malaysia,MYS,78.716
Maldives,MDV,41.971
Mali,MLI,46.189
Malta,MLT,94.941
Marshall Islands,MHL,78.868
Mauritania,MRT,57.699
Mauritius,MUS,40.867
Mexico,MEX,81.582
Micronesia. Fed. Sts.,FSM,23.379
Moldova,MDA,43.373
Monaco,MCO,100
Mongolia,MNG,69.089
Montenegro,MNE,68.502
Morocco,MAR,65.121
Mozambique,MOZ,38.753
Myanmar,MMR,32.112
Namibia,NAM,54.886
Nauru,NRU,100
Nepal,NPL,21.903
Netherlands,NLD,93.179
New Caledonia,NCL,72.719
New Zealand,NZL,86.985
Nicaragua,NIC,59.849
Niger,NER,17.054
Nigeria,NGA,54.283
North Macedonia,MKD,59.479
Northern Mariana Islands,MNP,92.076
Norway,NOR,83.995
Oman,OMN,88.4
Pakistan,PAK,38.04
Palau,PLW,82.408
Panama,PAN,69.512
Papua New Guinea,PNG,13.723
Paraguay,PRY,63.149
Peru,PER,78.922
Philippines,PHL,48.287
Poland,POL,60.218
Portugal,PRT,67.906
Puerto Rico,PRI,93.634
Qatar,QAT,99.354
Romania,ROU,54.672
Russian Federation,RUS,75.331
Rwanda,RWA,17.892
Samoa,WSM,17.508
San Marino,SMR,97.836
Sao Tome and Principe,STP,76.401
Saudi Arabia,SAU,84.95
Senegal,SEN,49.579
Serbia,SRB,57.113
Seychelles,SYC,58.82
Sierra Leone,SLE,44.3
Singapore,SGP,100
Sint Maarten (Dutch part),SXM,100
Slovak Republic,SVK,54.027
Slovenia,SVN,56.088
Solomon Islands,SLB,26.037
Somalia,SOM,47.92
South Africa,ZAF,68.819
South Sudan,SSD,21.195
Spain,ESP,81.552
Sri Lanka,LKA,19.211
St. Kitts and Nevis,KNA,31.096
St. Lucia,LCA,19.172
St. Martin (French part),MAF,..
St. Vincent and the Grenadines,VCT,54.299
Sudan,SDN,36.342
Suriname,SUR,66.411
Sweden,SWE,88.738
Switzerland,CHE,74.202
Syrian Arab Republic,SYR,57.409
Tajikistan,TJK,28.234
Tanzania,TZA,37.409
Thailand,THA,53.608
Timor-Leste,TLS,32.456
Togo,TGO,44.49
Tonga,TON,23.16
Trinidad and Tobago,TTO,53.439
Tunisia,TUN,70.544
Turkiye,TUR,77.463
Turkmenistan,TKM,54.003
Turks and Caicos Islands,TCA,94.247
Tuvalu,TUV,66.241
Uganda,UGA,26.771
Ukraine,UKR,70.095
United Arab Emirates,ARE,87.779
United Kingdom,GBR,84.642
United States,USA,83.298
Uruguay,URY,95.771
Uzbekistan,UZB,50.532
Vanuatu,VUT,25.976
Venezuela. RB,VEN,88.438
Viet Nam,VNM,39.48
Virgin Islands (U.S.),VIR,96.227
West Bank and Gaza,PSE,77.582
Yemen. Rep.,YEM,39.831
Zambia,ZMB,46.335
Zimbabwe,ZWE,32.517
Africa Eastern and Southern,AFE,38.33533732
Africa Western and Central,AFW,49.6354097
Arab World,ARB,59.8277579
Caribbean small states,CSS,46.97723116
Central Europe and the Baltics,CEB,63.03468316
Early-demographic dividend,EAR,47.13457982
East Asia & Pacific,EAS,62.98713329
East Asia & Pacific (excluding high income),EAP,60.0487215
East Asia & Pacific (IDA & IBRD countries),TEA,60.01000107
Euro area,EMU,77.9667649
Europe & Central Asia,ECS,73.30692208
Europe & Central Asia (excluding high income),ECA,64.34551775
Europe & Central Asia (IDA & IBRD countries),TEC,67.2022783
European Union,EUU,75.71272661
Fragile and conflict affected situations,FCS,44.77675184
Heavily indebted poor countries (HIPC),HPC,38.51736431
High income,HIC,81.14707603
IBRD only,IBD,58.02426804
IDA & IBRD total,IBT,52.88279618
IDA blend,IDB,44.61762452
IDA only,IDX,36.80023302
IDA total,IDA,39.38762351
Late-demographic dividend,LTE,66.40835952
Latin America & Caribbean,LCN,81.86847314
Latin America & Caribbean (excluding high income),LAC,81.48439465
Latin America & the Caribbean (IDA & IBRD countries),TLA,81.8840054
Least developed countries: UN classification,LDC,36.37681946
Low & middle income,LMY,52.13309862
Low income,LIC,35.02012643
Lower middle income,LMC,40.9606603
Middle East & North Africa,MEA,66.37234179
Middle East & North Africa (excluding high income),MNA,62.8072826
Middle East & North Africa (IDA & IBRD countries),TMN,62.62799103
Middle income,MIC,54.2414098
North America,NAC,83.14731062
Not classified,INX,..
OECD members,OED,81.68489212
Other small states,OSS,59.48061827
Pacific island small states,PSS,39.82153546
Post-demographic dividend,PST,82.31513981
Pre-demographic dividend,PRE,44.14837552
Small states,SST,54.88795678
South Asia,SAS,36.31229778
South Asia (IDA & IBRD),TSA,36.31229778
Sub-Saharan Africa,SSF,42.91023696
Sub-Saharan Africa (excluding high income),SSA,42.90870241
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.91023696
Upper middle income,UMC,68.7076785
World,WLD,57.33716155
